run,experiment,change,exact_output,changed_prompts,total_elapsed_s,change_vs_control,prefill_tps,decode_tps,completion_tps,cache_hit_rate,cache_ssd_gib,start_c,average_c,maximum_c,average_power_w,maximum_vram_mib
20260806T113610Z_baseline_before,baseline_before,DS4_BENCH_MAX_GPU_TEMP=<unset>; DS4_CUDA_CACHE_SUMMARY=<unset>; DS4_CUDA_DECODE_CACHE_EXTRA_EXPERTS=<unset>; DS4_CUDA_LAYER_CACHE_CAPACITIES_FILE=<unset>; DS4_CUDA_PINNED_EXPERTS_PREFILL_ONLY=<unset>; cache_budget=<unset>,True,,119.29614379499435,-0.00828637937777202,4.437820831263454,3.077080004080106,1.5172326132439056,0.0,0,,,,,
20260806T114710Z_refactor_flag_off,refactor_flag_off,DS4_BENCH_MAX_GPU_TEMP=<unset>; DS4_CUDA_CACHE_SUMMARY=<unset>; DS4_CUDA_LAYER_CACHE_CAPACITIES_FILE=<unset>; DS4_CUDA_PINNED_EXPERTS_PREFILL_ONLY=<unset>,True,,120.14823430499746,-0.0012029168458634165,4.3968303446918116,3.062139437310731,1.5064724092451476,0.0,0,,,,,
20260806T114923Z_decode_reclaim_512,decode_reclaim_512,DS4_BENCH_MAX_GPU_TEMP=<unset>; DS4_CUDA_CACHE_SUMMARY=<unset>; DS4_CUDA_DECODE_CACHE_EXTRA_EXPERTS=512; DS4_CUDA_LAYER_CACHE_CAPACITIES_FILE=<unset>; DS4_CUDA_PINNED_EXPERTS_PREFILL_ONLY=<unset>,False,"fact,arithmetic,translation,summary,sentiment,python,logic,formatting,creative,practical",0,-1.0,0.0,0.0,0.0,0.0,0,,,,,
20260806T115108Z_decode_reclaim_512_fixed,decode_reclaim_512_fixed,DS4_BENCH_MAX_GPU_TEMP=<unset>; DS4_CUDA_CACHE_SUMMARY=<unset>; DS4_CUDA_DECODE_CACHE_EXTRA_EXPERTS=512; DS4_CUDA_LAYER_CACHE_CAPACITIES_FILE=<unset>; DS4_CUDA_PINNED_EXPERTS_PREFILL_ONLY=<unset>,True,,135.11964433499998,0.12325501426872745,4.179076548831262,2.554584844678419,1.3395535555973608,0.0,0,,,,,
20260806T115643Z_layer_quota_replay_profile,layer_quota_replay_profile,DS4_BENCH_MAX_GPU_TEMP=<unset>; DS4_CUDA_LAYER_CACHE_CAPACITIES_FILE=/mnt/c/Users/gmart/OneDrive/ds4/logs/expert_trace_10prompts_20260806T110937Z/analysis/recommended_layer_capacities.txt; DS4_CUDA_PINNED_EXPERTS_PREFILL_ONLY=<unset>,True,,125.40069367999786,0.042460988275027645,4.313744426738777,2.864785299377978,1.4433731958603238,0.0,0,,,,,
20260806T115931Z_prefill_shared_overlap,prefill_shared_overlap,DS4_BENCH_MAX_GPU_TEMP=<unset>; DS4_CUDA_PINNED_EXPERTS_PREFILL_ONLY=<unset>; DS4_CUDA_STREAMING_PREFILL_SHARED_OVERLAP=1,False,sentiment,162.55621344200154,0.351336311961924,3.344314665069382,2.198870193767843,1.1134609755448015,0.0,0,,,,,
20260806T120209Z_prompt_cache_default,prompt_cache_default,DS4_BENCH_MAX_GPU_TEMP=<unset>; DS4_CUDA_PINNED_EXPERTS_PREFILL_ONLY=<unset>; DS4_CUDA_PROMPT_EXPERT_CACHE=1,True,,185.4922048510016,0.5420041270244774,2.7802848754577614,2.0335707705098534,0.9757822445713554,0.0,0,,,,,
20260806T120715Z_baseline_control_mid,baseline_control_mid,DS4_BENCH_MAX_GPU_TEMP=<unset>; DS4_CUDA_PINNED_EXPERTS_PREFILL_ONLY=<unset>,True,,160.92472972600262,0.33777372249750764,3.2763236714385258,2.289748001214452,1.1247494422279185,0.49854544238614323,197.72,,,,,
20260806T121545Z_steady_baseline_78c,steady_baseline_78c,DS4_BENCH_MAX_GPU_TEMP=78; DS4_CUDA_PINNED_EXPERTS_PREFILL_ONLY=<unset>,True,,166.12125706700135,0.3809726623799256,3.1214694200822297,2.2579276964147605,1.0895655570857956,0.49847856617401193,197.72,77,79.0718954248366,81,40.87830065359477,15914
20260806T121901Z_pin_workload_2_per_layer,pin_workload_2_per_layer,DS4_BENCH_MAX_GPU_TEMP=78; DS4_CUDA_PINNED_EXPERTS_FILE=/mnt/c/Users/gmart/OneDrive/ds4/logs/expert_trace_10prompts_20260806T110937Z/analysis/recommended_pinned_experts.txt; DS4_CUDA_PINNED_EXPERTS_PREFILL_ONLY=<unset>,False,creative,180.84190230600325,0.5033459757449674,3.0092748545891443,1.9958338332006413,1.0119336153097143,0.5026521681474605,197.79,72,74.19161676646706,78,36.20287425149701,15932
