layer,current_capacity,recommended_capacity,current_misses,recommended_misses,predicted_misses_saved
0,23,7,1954,2121,-167
1,23,6,1994,2158,-164
2,24,6,1933,2145,-212
3,23,26,937,895,42
4,23,35,967,818,149
5,24,34,827,696,131
6,23,32,940,815,125
7,23,29,687,601,86
8,24,26,778,742,36
9,23,28,896,824,72
10,24,28,852,800,52
11,23,30,720,617,103
12,23,23,600,600,0
13,24,28,597,525,72
14,23,22,505,517,-12
15,23,24,674,654,20
16,24,23,611,623,-12
17,23,18,596,648,-52
18,24,24,612,612,0
19,23,36,1075,894,181
20,23,26,687,639,48
21,24,34,779,642,137
22,23,22,762,773,-11
23,23,35,869,689,180
24,24,24,630,630,0
25,23,28,749,682,67
26,24,24,519,519,0
27,23,23,685,685,0
28,23,27,604,554,50
29,24,27,683,639,44
30,23,22,727,737,-10
31,23,21,657,677,-20
32,24,27,573,532,41
33,23,15,581,655,-74
34,24,19,763,811,-48
35,23,28,839,771,68
36,23,17,640,702,-62
37,24,15,776,864,-88
38,23,14,700,782,-82
39,23,18,646,693,-47
40,24,12,503,622,-119
41,23,22,645,655,-10
42,24,20,795,832,-37
