expert_id,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37,layer_38,layer_39,layer_40,layer_41,layer_42
0,5,11,6,2,0,3,2,0,0,0,1,0,0,0,2,0,1,0,0,1,3,0,4,7,4,1,1,1,0,0,6,1,0,1,2,4,0,1,2,2,0,0,3
1,5,5,6,4,3,0,4,0,2,0,1,3,0,1,0,1,1,1,1,1,0,0,3,1,0,2,2,0,0,0,1,1,1,1,0,0,1,0,2,1,1,2,0
2,4,3,3,1,4,0,1,0,2,6,1,3,2,1,0,1,1,0,0,2,0,0,2,3,3,0,0,1,0,3,1,1,0,0,2,2,2,1,1,0,0,2,0
3,3,5,3,1,6,0,1,0,0,1,1,5,2,2,1,1,3,1,0,3,1,0,1,2,0,0,6,5,1,1,4,2,1,1,0,0,2,0,2,4,1,0,1
4,5,2,4,3,3,0,10,0,1,4,0,7,0,3,3,0,2,5,0,3,4,3,2,0,0,2,0,1,0,1,0,1,0,0,2,0,1,1,1,0,0,3,0
5,2,2,4,0,3,0,0,0,1,1,1,1,0,0,0,3,0,0,0,2,0,2,0,1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,2,2,2,0,1
6,6,2,3,1,0,0,6,3,3,0,3,1,0,2,0,0,0,0,0,3,0,2,0,0,2,0,0,1,2,0,0,3,2,0,5,0,0,1,3,3,0,1,0
7,6,5,6,4,2,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,4,3,0,1,1,0,0,0,2,0,0,0,0,0,0,1,1,4,0,3,0,0,1
8,5,4,5,1,5,0,0,0,0,0,0,2,0,0,2,3,0,0,1,1,1,0,1,1,0,0,0,0,1,0,4,2,0,0,1,4,1,0,2,0,0,5,1
9,0,5,5,0,3,0,4,5,0,0,1,0,0,0,1,4,2,1,7,0,0,3,0,0,0,5,0,0,3,4,7,0,0,2,0,0,0,2,0,0,0,0,0
10,1,5,2,1,0,1,0,0,3,2,3,0,0,0,1,2,0,0,0,11,0,2,0,0,0,1,0,1,1,1,0,1,0,0,2,0,0,2,8,1,0,3,0
11,3,5,4,2,4,0,1,0,2,0,2,0,2,0,1,4,2,3,0,1,5,2,0,4,1,5,4,0,0,1,1,0,0,1,4,1,2,0,0,1,1,0,0
12,1,4,4,0,0,10,0,0,3,2,1,0,0,2,1,0,1,2,0,1,3,0,1,0,0,1,1,2,3,1,4,0,1,3,2,0,0,3,1,0,0,0,3
13,6,4,1,0,1,1,1,0,3,2,4,1,1,4,1,0,1,1,0,0,0,5,0,0,0,8,0,0,0,2,2,5,0,0,2,1,0,1,0,0,0,0,0
14,5,1,1,3,0,1,0,0,0,3,0,0,7,0,0,1,1,2,0,1,3,0,4,3,0,0,1,1,1,0,2,1,3,1,1,4,0,1,0,1,1,0,1
15,1,3,6,2,1,2,2,1,2,9,1,2,3,6,1,0,0,3,0,3,2,0,0,1,4,4,0,0,1,0,1,1,3,0,3,2,0,0,3,1,1,0,1
16,4,5,3,1,1,0,3,0,3,0,1,10,1,1,0,0,0,1,1,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2
17,5,4,1,2,0,0,6,0,2,2,0,0,2,0,0,0,0,0,0,2,0,0,2,2,0,2,1,0,0,1,0,1,1,0,2,1,0,2,0,0,0,1,0
18,6,3,0,1,0,1,0,2,4,0,2,0,1,2,1,0,0,0,0,0,0,0,2,0,0,0,2,3,0,3,3,2,1,4,7,2,0,0,0,1,0,0,0
19,6,5,7,2,0,3,0,0,0,0,3,2,0,5,0,1,1,0,0,4,0,0,0,0,1,0,1,0,7,0,2,1,1,1,0,0,2,1,0,0,2,1,3
20,3,5,6,1,2,0,6,0,0,0,0,5,0,2,0,3,3,1,0,2,2,0,1,1,0,0,0,0,1,2,3,0,0,3,3,0,3,2,0,0,1,1,1
21,4,1,0,0,0,2,1,0,2,2,3,6,0,1,0,0,0,2,0,0,0,0,1,2,1,2,1,2,0,0,4,1,1,1,0,4,7,0,3,0,0,2,1
22,7,4,4,0,3,3,1,1,0,5,0,0,0,0,0,1,0,0,1,5,3,0,2,3,1,0,2,0,0,0,1,0,1,5,3,0,0,1,1,1,1,0,3
23,8,3,4,4,0,6,0,3,0,1,3,2,4,0,0,1,0,0,6,2,0,1,6,7,0,0,1,2,0,6,2,0,0,0,0,1,1,1,0,0,2,1,1
24,1,1,3,0,0,0,0,1,2,4,0,6,0,0,0,4,3,1,0,4,0,0,0,0,0,3,0,2,0,4,0,1,3,1,2,0,1,0,0,1,0,0,0
25,6,8,8,0,0,0,1,0,0,4,2,0,1,2,0,3,2,1,9,3,0,1,1,2,1,0,0,2,3,1,0,1,1,1,0,5,0,3,0,1,1,0,3
26,2,6,1,3,1,1,0,0,1,7,0,2,1,2,0,1,0,1,3,0,0,4,0,0,2,2,0,1,0,1,1,0,0,1,0,0,4,0,0,0,1,1,1
27,4,6,1,1,4,0,1,0,0,2,2,1,0,0,2,2,1,0,1,2,0,0,1,1,3,0,0,3,3,0,1,2,0,0,0,2,0,0,0,0,1,6,1
28,3,4,3,1,1,0,0,2,2,5,0,0,1,0,0,1,2,0,2,1,0,2,0,2,0,2,0,0,2,5,1,1,0,0,0,1,1,2,1,5,0,1,1
29,6,7,6,1,2,1,2,0,0,0,1,1,0,2,1,3,1,1,0,1,6,0,0,6,3,0,1,1,5,2,0,0,1,0,2,5,0,5,0,4,1,1,1
30,3,6,2,0,0,0,4,0,0,0,1,8,1,0,0,0,0,0,1,3,0,6,0,2,0,0,0,0,0,5,0,2,0,0,4,3,1,1,3,1,0,0,0
31,4,2,4,5,1,4,6,0,1,0,2,0,0,1,1,2,0,2,0,0,2,0,2,0,1,1,1,0,0,5,0,0,0,0,0,2,3,2,3,1,0,0,0
32,2,11,3,0,0,1,0,3,3,1,1,2,0,1,1,4,0,0,2,4,1,2,0,0,0,0,2,0,0,1,0,3,2,0,4,1,1,0,1,1,2,0,0
33,4,2,6,0,3,2,0,2,1,2,3,0,0,1,0,0,0,2,0,1,0,0,4,0,2,2,1,0,1,0,1,0,0,0,0,0,0,2,1,3,0,0,0
34,5,3,4,3,0,3,3,1,0,0,1,1,1,0,0,0,1,0,0,0,1,5,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,4,0,1,1
35,6,4,4,1,0,2,1,9,1,0,5,2,0,1,3,0,0,0,1,1,0,3,1,1,0,0,0,1,0,2,0,2,1,0,0,3,2,0,0,1,2,1,3
36,7,4,4,3,0,2,0,1,0,2,2,1,2,0,1,3,3,0,3,2,6,1,0,2,0,2,0,0,0,0,3,1,0,0,1,0,0,0,3,0,1,4,0
37,6,3,6,0,1,0,0,0,1,0,0,0,0,4,0,1,1,3,2,0,0,0,1,0,0,1,0,2,1,0,4,2,0,1,2,0,0,1,1,0,1,0,0
38,4,4,1,2,4,1,1,0,2,0,3,1,1,0,1,2,0,1,2,2,1,2,0,5,0,0,0,0,1,0,0,3,0,1,1,0,1,0,0,0,0,1,1
39,5,2,7,0,3,0,1,3,5,0,0,1,0,2,0,1,0,0,2,3,1,0,1,0,1,1,0,6,0,1,2,1,0,2,1,0,0,1,0,0,2,0,1
40,3,7,3,2,0,3,0,3,0,1,2,1,1,1,0,0,3,2,0,4,0,0,3,0,2,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,2
41,2,3,4,2,1,0,0,2,0,0,3,0,0,0,2,0,0,3,5,1,0,0,0,0,1,2,0,1,1,2,2,0,1,0,0,0,0,0,1,0,0,1,1
42,3,3,6,2,0,0,2,0,0,3,8,1,1,0,0,1,1,1,1,1,0,3,0,0,0,2,0,2,0,1,1,2,0,0,0,2,1,1,2,1,2,1,1
43,6,4,3,1,2,1,3,4,0,1,0,2,2,0,2,0,0,0,0,1,0,4,2,0,0,0,0,0,2,0,0,6,1,2,0,0,0,0,0,1,1,0,0
44,3,5,5,3,0,6,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,2,0,0,2,0,2,0,3,1,0,1,1,0,0,0,2,0,0,0,4,0
45,0,6,2,1,2,4,0,0,2,1,4,3,1,0,0,1,0,1,2,2,3,1,0,3,1,0,1,0,0,1,4,1,0,1,0,0,1,0,1,0,0,1,1
46,5,5,4,2,4,1,0,1,0,0,2,0,0,0,2,1,1,1,1,3,2,5,2,0,3,0,0,2,0,2,1,1,0,0,2,0,0,0,0,2,1,0,2
47,1,4,5,0,0,3,1,4,2,0,0,2,0,4,1,0,0,0,0,3,1,2,0,1,1,0,0,1,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0
48,7,5,3,0,0,0,3,0,2,3,2,1,0,0,0,0,1,0,2,1,4,0,3,1,5,0,2,4,1,3,2,1,2,1,0,3,3,2,3,0,8,1,1
49,2,7,4,0,0,5,2,1,0,1,3,0,1,2,2,0,1,0,0,2,1,8,2,6,2,0,0,0,0,1,4,1,0,2,2,0,0,0,0,3,1,0,1
50,2,4,6,0,0,0,0,0,3,1,0,1,3,3,1,2,1,2,0,1,2,1,1,0,0,0,0,1,0,0,3,1,0,0,0,1,1,2,2,1,1,2,0
51,4,3,2,0,0,1,12,2,2,11,3,0,1,7,0,0,0,0,0,0,0,0,3,1,0,2,0,0,3,1,1,0,0,1,2,3,5,0,2,0,0,0,1
