expert_id,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37,layer_38,layer_39,layer_40,layer_41,layer_42
0,9,16,12,7,0,5,8,0,3,0,2,0,0,0,3,1,2,0,0,1,10,0,10,13,10,3,2,2,1,0,9,2,0,2,2,8,0,1,3,5,0,0,5
1,11,10,11,8,11,10,7,0,3,0,3,11,0,2,1,3,1,1,1,1,0,0,5,2,0,3,6,1,4,1,1,1,1,1,2,0,2,4,4,2,2,4,1
2,7,3,6,3,10,10,1,0,4,13,1,6,4,2,1,1,4,0,0,2,0,0,2,8,4,0,0,1,1,10,1,1,0,0,4,6,5,6,1,1,0,3,0
3,6,14,8,4,10,0,6,1,0,4,1,10,5,3,2,1,3,3,0,5,1,1,4,4,0,0,8,6,2,3,6,7,1,1,2,0,2,0,7,10,2,0,6
4,10,5,12,6,8,1,10,0,11,7,0,12,2,5,5,0,3,12,0,10,6,3,2,1,0,3,0,3,0,2,10,3,1,1,4,1,2,1,3,0,1,3,0
5,6,3,7,0,3,0,0,0,2,2,1,1,0,0,0,11,0,10,1,3,0,4,0,8,0,0,6,3,0,0,1,0,0,2,5,2,3,1,4,2,4,2,1
6,10,4,7,5,0,3,8,5,6,0,11,1,0,2,1,2,0,0,1,9,0,3,0,1,2,3,0,1,2,0,1,6,4,0,6,0,1,4,10,5,0,4,0
7,8,12,8,4,5,0,1,2,1,0,4,10,0,1,9,2,1,0,0,0,9,8,0,1,1,0,8,0,8,1,0,0,1,0,0,1,2,4,2,11,8,5,2
8,9,14,5,1,8,0,2,10,0,0,10,3,0,0,3,6,0,0,8,3,2,2,2,11,0,0,0,0,1,0,9,2,1,0,4,14,2,2,2,0,1,8,1
9,1,9,8,0,10,3,10,8,1,1,4,2,0,8,2,8,4,2,8,4,2,7,0,0,0,5,0,4,3,7,8,10,1,10,1,0,0,2,0,0,0,0,1
10,6,15,2,1,0,7,2,0,5,3,4,0,1,1,2,3,10,0,0,12,0,5,3,1,5,1,0,2,1,1,1,3,0,0,6,0,10,3,10,1,0,7,0
11,8,5,11,11,8,10,1,0,3,10,7,0,2,0,2,6,5,4,4,5,6,5,0,6,2,6,6,3,1,3,3,0,0,2,5,1,3,5,0,2,1,0,1
12,10,9,7,0,0,15,0,1,6,7,6,0,0,5,2,0,1,2,0,1,3,0,2,0,0,7,1,7,5,4,13,0,2,3,4,0,0,3,1,0,0,2,7
13,12,7,3,1,2,5,11,0,7,4,9,1,2,7,3,2,2,2,0,0,1,7,0,0,0,12,0,1,1,4,3,6,4,0,4,2,0,6,4,3,0,2,1
14,9,5,10,9,0,5,10,2,1,7,10,0,10,1,0,1,1,2,0,1,5,0,7,8,0,0,1,2,9,0,4,1,5,2,3,7,4,4,4,4,3,1,1
15,11,6,10,2,4,5,5,1,5,12,2,3,8,7,2,0,8,4,0,7,3,1,0,2,7,5,2,0,2,0,1,4,8,8,5,4,1,1,8,2,1,0,2
16,5,7,8,3,2,0,11,1,5,0,2,10,2,3,0,0,0,3,1,0,4,2,1,0,1,1,1,4,0,0,0,0,1,0,0,4,1,1,2,2,0,1,9
17,9,8,4,4,0,0,11,0,7,3,0,0,3,1,0,2,0,0,1,5,0,9,6,3,0,4,3,0,0,5,0,5,4,0,3,3,0,3,5,0,1,2,0
