expert_id,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37,layer_38,layer_39,layer_40,layer_41,layer_42
0,4,5,6,5,0,2,6,0,3,0,1,0,0,0,1,1,1,0,0,0,7,0,6,6,6,2,1,1,1,0,3,1,0,1,0,4,0,0,1,3,0,0,2
1,6,5,5,4,8,10,3,0,1,0,2,8,0,1,1,2,0,0,0,0,0,0,2,1,0,1,4,1,4,1,0,0,0,0,2,0,1,4,2,1,1,2,1
2,3,0,3,2,6,10,0,0,2,7,0,3,2,1,1,0,3,0,0,0,0,0,0,5,1,0,0,0,1,7,0,0,0,0,2,4,3,5,0,1,0,1,0
3,3,9,5,3,4,0,5,1,0,3,0,5,3,1,1,0,0,2,0,2,0,1,3,2,0,0,2,1,1,2,2,5,0,0,2,0,0,0,5,6,1,0,5
4,5,3,8,3,5,1,0,0,10,3,0,5,2,2,2,0,1,7,0,7,2,0,0,1,0,1,0,2,0,1,10,2,1,1,2,1,1,0,2,0,1,0,0
5,4,1,3,0,0,0,0,0,1,1,0,0,0,0,0,8,0,10,1,1,0,2,0,7,0,0,5,1,0,0,1,0,0,1,4,2,3,1,2,0,2,2,0
6,4,2,4,4,0,3,2,2,3,0,8,0,0,0,1,2,0,0,1,6,0,1,0,1,0,3,0,0,0,0,1,3,2,0,1,0,1,3,7,2,0,3,0
7,2,7,2,0,3,0,0,2,1,0,1,10,0,1,9,1,1,0,0,0,5,5,0,0,0,0,8,0,6,1,0,0,1,0,0,0,1,0,2,8,8,5,1
8,4,10,0,0,3,0,2,10,0,0,10,1,0,0,1,3,0,0,7,2,1,2,1,10,0,0,0,0,0,0,5,0,1,0,3,10,1,2,0,0,1,3,0
9,1,4,3,0,7,3,6,3,1,1,3,2,0,8,1,4,2,1,1,4,2,4,0,0,0,0,0,4,0,3,1,10,1,8,1,0,0,0,0,0,0,0,1
10,5,10,0,0,0,6,2,0,2,1,1,0,1,1,1,1,10,0,0,1,0,3,3,1,5,0,0,1,0,0,1,2,0,0,4,0,10,1,2,0,0,4,0
11,5,0,7,9,4,10,0,0,1,10,5,0,0,0,1,2,3,1,4,4,1,3,0,2,1,1,2,3,1,2,2,0,0,1,1,0,1,5,0,1,0,0,1
12,9,5,3,0,0,5,0,1,3,5,5,0,0,3,1,0,0,0,0,0,0,0,1,0,0,6,0,5,2,3,9,0,1,0,2,0,0,0,0,0,0,2,4
13,6,3,2,1,1,4,10,0,4,2,5,0,1,3,2,2,1,1,0,0,1,2,0,0,0,4,0,1,1,2,1,1,4,0,2,1,0,5,4,3,0,2,1
14,4,4,9,6,0,4,10,2,1,4,10,0,3,1,0,0,0,0,0,0,2,0,3,5,0,0,0,1,8,0,2,0,2,1,2,3,4,3,4,3,2,1,0
15,10,3,4,0,3,3,3,0,3,3,1,1,5,1,1,0,8,1,0,4,1,1,0,1,3,1,2,0,1,0,0,3,5,8,2,2,1,1,5,1,0,0,1
16,1,2,5,2,1,0,8,1,2,0,1,0,1,2,0,0,0,2,0,0,2,2,1,0,1,0,1,1,0,0,0,0,1,0,0,3,1,1,1,2,0,0,7
17,4,4,3,2,0,0,5,0,5,1,0,0,1,1,0,2,0,0,1,3,0,9,4,1,0,2,2,0,0,4,0,4,3,0,1,2,0,1,5,0,1,1,0
18,4,10,4,3,0,2,0,1,0,1,4,10,1,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,1,5,1,3,4,0,0,1,1,1,4,0,0
19,2,6,5,0,0,2,0,0,0,0,3,0,10,3,1,0,1,0,0,3,0,0,0,0,0,0,1,1,1,0,2,6,0,2,4,1,0,10,0,2,0,1,0
20,2,4,5,0,1,5,5,0,10,0,0,8,1,1,0,2,1,1,0,0,0,0,0,0,2,0,2,1,1,0,1,0,0,0,2,1,1,3,1,0,0,0,0
21,4,3,2,0,1,2,2,0,1,0,3,0,1,0,10,0,1,1,3,0,8,2,2,0,0,1,0,1,0,1,2,0,1,3,2,5,1,0,2,0,1,2,0
22,7,2,7,0,0,3,0,1,10,3,0,0,1,0,1,4,0,10,0,2,4,8,0,0,1,0,1,0,6,1,0,2,3,5,3,0,2,0,3,1,3,0,4
23,5,5,4,1,0,5,3,2,2,1,1,2,0,0,3,0,0,0,2,2,0,1,4,0,0,0,1,3,2,1,3,1,2,0,0,10,1,1,10,3,5,2,8
24,1,6,3,0,1,0,2,1,1,2,0,3,1,0,0,4,3,0,0,3,0,0,1,0,1,8,0,2,0,1,0,1,1,0,2,0,4,0,0,0,0,0,1
25,4,5,4,2,0,0,0,0,3,3,3,0,1,1,0,4,3,0,0,2,0,0,2,9,0,0,7,7,2,1,0,0,5,3,10,5,2,0,0,0,3,0,7
26,2,6,4,5,10,0,0,10,2,5,0,2,1,0,0,1,10,3,2,0,1,1,0,10,4,1,1,1,0,3,3,0,0,0,4,1,1,0,0,4,1,0,10
27,5,2,4,2,3,0,1,1,0,0,3,5,0,0,1,1,1,0,0,0,0,0,1,0,4,0,0,5,4,0,1,2,0,0,3,1,0,0,9,0,1,4,1
28,4,5,4,1,8,2,0,6,4,1,3,0,1,0,1,1,1,0,0,3,1,6,2,5,1,2,10,2,1,1,0,0,0,0,2,3,4,4,0,6,2,5,9
29,6,6,8,1,4,5,7,0,1,0,1,0,0,1,0,1,4,0,0,1,4,0,0,3,4,0,0,0,1,2,0,0,3,4,3,5,0,3,1,7,8,1,0
30,2,0,0,0,3,0,4,1,2,2,3,6,0,0,1,1,9,0,0,3,0,6,1,0,1,0,0,0,0,3,0,2,0,0,5,3,3,1,0,0,0,2,1
31,1,10,10,3,1,2,4,0,0,0,3,0,0,0,1,1,0,0,0,0,3,0,2,3,1,1,0,0,0,1,0,0,1,1,0,4,3,1,1,2,0,0,0
32,5,6,3,0,3,5,1,2,2,2,0,1,0,0,0,1,0,1,1,0,3,1,0,0,1,0,4,1,10,0,0,3,3,0,1,1,2,0,0,0,0,1,1
33,4,3,6,0,3,0,0,1,1,2,4,0,10,2,10,2,0,9,0,3,0,0,3,0,2,6,0,0,0,1,1,4,0,0,10,4,0,0,0,2,8,0,0
34,3,2,2,2,1,3,3,1,1,4,0,6,0,0,0,0,0,0,0,0,1,8,0,0,0,0,1,1,1,10,0,2,3,2,0,4,0,2,1,4,10,2,0
35,8,2,8,7,0,10,3,1,6,1,0,4,0,1,2,1,2,0,3,1,0,1,0,0,1,1,0,2,0,3,6,6,0,0,1,2,0,1,7,0,1,2,4
36,5,4,5,4,0,4,0,0,0,2,0,0,1,1,1,7,2,0,4,4,4,0,0,2,0,0,0,3,0,1,0,1,1,3,1,0,1,0,2,0,3,3,0
37,7,4,4,1,2,0,0,1,2,2,0,1,3,1,3,1,1,0,6,0,0,10,10,0,0,0,0,0,1,0,3,1,3,0,6,2,0,3,0,2,0,0,0
38,3,5,1,4,8,2,1,1,0,2,1,1,2,1,1,7,7,0,1,10,1,2,10,8,0,0,0,1,9,0,0,2,0,4,0,0,1,1,10,4,1,0,1
39,2,5,6,0,5,0,3,0,6,0,1,1,0,0,0,0,1,1,0,3,1,0,0,0,1,4,1,3,1,0,4,0,1,8,3,0,1,2,0,1,4,1,1
40,4,5,5,3,0,1,0,1,0,9,2,0,1,1,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0,2,2,0,0,0,2
41,4,0,1,3,1,3,0,1,1,0,3,1,1,0,2,0,0,0,0,0,0,0,0,1,2,2,0,1,3,1,2,0,1,0,1,0,0,2,1,3,0,1,1
42,2,9,6,2,0,0,3,0,3,1,1,2,1,1,0,0,3,1,1,5,0,0,2,0,0,2,1,1,0,1,0,1,0,0,0,1,0,1,2,5,0,1,0
43,6,4,8,0,0,0,3,3,1,0,0,3,2,0,2,0,1,0,8,0,0,6,1,0,0,1,0,0,5,0,0,1,8,5,2,10,0,0,3,0,0,2,0
44,10,1,5,6,0,5,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,2,0,1,3,0,2,2,8,1,1,1,2,9,0,0,0,1,0,0,1,0
45,5,3,3,0,1,1,0,0,1,0,4,2,8,0,0,6,0,0,1,4,3,1,0,0,2,0,0,1,0,10,4,2,1,1,2,0,0,0,3,0,2,0,6
46,1,3,3,1,4,3,1,0,0,0,0,1,2,0,0,9,0,0,0,1,0,0,1,0,1,0,2,3,0,2,2,8,9,0,3,0,1,0,0,1,1,0,2
47,10,4,1,0,0,5,2,2,3,2,0,1,0,2,0,0,0,0,0,1,0,1,0,2,2,3,3,0,0,10,1,1,1,1,0,5,1,3,1,2,1,1,10
48,2,4,3,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,6,1,5,0,3,2,1,3,1,2,0,1,0,1,2,1,0,2,2,0,2,0,1,0,0
49,5,3,4,2,0,3,2,0,0,4,3,0,0,1,1,0,0,0,0,5,0,1,1,5,0,1,0,1,1,1,1,3,2,1,0,0,0,0,1,0,0,0,0
50,10,4,2,2,10,0,8,0,3,8,0,2,3,1,1,1,0,1,10,1,2,7,4,0,0,2,1,2,0,0,1,1,0,0,4,0,2,4,0,1,1,0,1
51,6,6,1,0,0,0,0,1,2,0,1,0,1,0,0,0,2,0,0,0,0,0,3,0,0,3,8,0,0,2,0,0,0,0,5,2,0,0,0,0,0,0,1
52,5,6,3,4,0,0,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,7,2,0,0,10,0,0,1,1,2,0,0,2,0,0,0,0,6,1,2,0
53,10,2,9,0,2,4,3,1,2,2,0,1,0,7,1,0,0,3,0,4,1,1,2,5,0,2,1,0,1,0,0,1,2,1,1,1,0,1,0,0,0,1,2
54,5,2,3,4,0,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,6,9,4,0,1,1,1,0,0,0,4,10,2,0,1,0,0,2,0,3
55,4,6,3,0,2,3,1,0,3,6,0,0,1,0,0,0,0,0,0,0,1,2,1,0,1,4,0,4,1,1,0,2,0,3,0,1,0,3,0,3,0,0,0
56,2,3,3,0,5,0,8,10,1,0,3,0,0,0,0,0,3,1,1,1,0,3,1,0,0,1,1,1,1,0,0,1,2,1,1,1,0,0,1,1,2,0,0
