expert_id,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37,layer_38,layer_39,layer_40,layer_41,layer_42
0,7,10,8,6,0,2,8,0,3,0,2,0,0,0,2,1,1,0,0,1,8,0,10,8,10,3,2,1,1,0,9,2,0,1,2,6,0,1,2,5,0,0,4
1,7,6,8,6,9,10,10,0,2,0,3,9,0,1,10,3,1,1,1,1,0,0,4,2,0,2,7,1,4,1,1,1,1,2,2,0,2,4,5,1,2,2,1
2,3,3,5,3,7,10,1,0,3,8,1,5,3,1,1,1,3,0,0,2,0,0,1,5,3,0,0,1,1,10,1,1,0,0,3,6,5,5,1,1,0,3,0
3,5,10,6,4,7,0,6,1,0,3,1,9,3,2,1,2,3,9,0,5,1,1,4,3,0,0,6,5,1,2,5,8,1,1,2,0,2,0,7,7,2,0,5
4,7,3,10,4,5,1,10,0,10,5,0,8,2,10,7,0,2,10,0,10,4,3,2,1,0,3,0,2,0,1,10,3,1,1,2,1,1,1,3,0,1,3,0
5,5,3,5,0,3,0,0,0,1,1,1,1,0,0,0,10,0,10,1,2,0,3,0,7,0,0,7,2,0,0,1,0,0,2,4,2,3,1,3,2,3,2,1
6,8,3,5,4,0,3,6,3,3,0,10,1,0,2,1,2,0,0,1,7,0,3,0,1,2,3,0,1,2,0,1,4,5,0,5,0,1,3,10,4,0,10,0
7,4,8,5,4,6,0,1,2,1,0,2,10,0,1,10,1,1,0,0,0,7,5,0,1,1,0,10,0,10,1,0,0,1,0,0,1,2,4,2,10,10,5,2
8,5,10,5,1,10,0,2,10,0,0,10,2,0,0,3,3,0,0,10,2,1,2,1,10,0,0,0,0,1,0,7,2,1,0,4,10,1,2,2,0,1,6,1
9,1,5,5,0,8,3,8,4,1,1,3,2,0,10,1,6,3,1,7,4,2,5,0,0,0,4,0,4,5,6,6,10,1,10,1,0,0,2,0,0,0,0,1
10,5,10,2,1,0,6,2,0,3,3,3,0,1,1,1,2,10,0,0,9,0,3,3,1,7,1,0,1,1,1,1,3,0,0,6,0,10,1,10,1,0,4,0
11,5,4,7,10,7,10,1,0,3,10,10,0,2,0,2,5,5,2,4,5,5,3,0,5,2,5,10,3,1,2,2,0,0,1,5,1,3,7,0,2,1,0,1
12,10,5,4,0,0,9,0,1,4,5,5,0,0,3,1,0,1,1,0,1,2,0,2,0,0,6,1,10,2,4,10,0,2,3,3,0,0,2,1,0,0,2,5
13,9,6,2,1,2,5,10,0,5,3,9,1,1,4,2,2,2,2,0,0,1,6,0,0,0,7,0,1,1,5,1,6,4,0,4,1,0,5,4,3,0,10,1
14,5,5,10,6,0,4,10,2,1,5,10,0,10,10,0,1,1,1,0,1,7,0,7,7,0,0,1,2,10,0,3,1,5,2,3,6,4,3,4,3,2,1,1
15,10,5,7,2,4,4,4,1,4,8,1,1,9,3,1,0,8,2,0,5,2,1,0,1,7,5,2,0,2,0,1,4,7,8,5,3,1,1,8,1,1,0,2
16,4,5,6,3,10,0,10,1,4,0,1,9,1,3,0,0,0,2,1,0,2,2,1,0,1,1,1,2,0,0,0,0,1,0,0,3,10,1,1,2,0,1,9
17,6,5,3,2,0,0,6,0,6,3,0,0,1,1,0,2,0,0,1,4,0,10,6,4,0,2,2,0,0,6,0,6,10,0,3,2,0,2,5,0,1,1,0
18,4,10,4,3,0,2,0,3,2,1,6,10,2,1,1,0,0,0,0,0,0,0,3,0,0,0,10,8,0,3,3,6,2,6,10,2,0,1,1,2,4,0,0
19,5,7,8,3,0,3,0,0,0,0,3,1,10,10,1,1,2,0,0,6,0,0,0,0,1,0,2,1,10,0,3,7,1,3,4,1,2,10,0,2,2,2,3
20,3,7,6,1,1,5,7,0,10,0,0,10,1,2,0,4,4,1,0,2,2,0,1,1,2,0,2,1,1,2,2,0,0,2,4,1,2,3,1,0,1,1,1
21,7,4,2,0,1,4,3,0,2,2,4,6,1,1,10,0,1,2,3,0,10,2,2,2,1,2,1,2,0,1,5,1,1,3,2,6,7,0,4,0,1,4,1
22,9,6,8,0,3,6,1,1,10,5,0,0,1,0,1,4,0,10,1,3,5,9,2,1,2,0,1,0,6,3,1,2,3,10,5,0,2,1,3,2,3,0,7
23,6,7,5,4,0,10,3,2,2,2,3,3,4,0,4,1,0,0,10,4,0,2,6,6,0,0,1,3,2,8,10,1,2,0,0,10,2,1,10,3,9,3,10
24,1,6,4,0,1,0,2,1,2,4,0,8,1,0,0,8,4,1,0,6,0,0,1,0,1,9,0,4,0,4,0,2,4,1,3,0,6,0,0,1,0,0,1
25,5,9,6,2,0,0,1,0,3,5,5,0,2,2,0,5,5,1,8,3,0,1,3,10,1,0,7,10,3,1,0,1,8,3,10,7,10,3,0,1,3,0,10
26,3,7,5,7,10,1,0,10,2,9,0,2,2,1,0,3,10,3,3,0,1,4,0,10,6,2,1,2,0,3,4,0,0,1,4,1,7,0,0,4,10,1,10
27,6,5,4,2,4,0,1,1,0,2,3,6,0,0,1,10,1,0,1,2,0,0,2,1,10,0,0,5,9,0,2,2,0,0,3,2,0,0,10,0,3,7,1
28,4,5,6,2,10,2,0,7,10,6,3,0,2,0,1,1,2,0,2,4,1,10,2,7,1,3,10,2,3,4,1,1,0,0,2,4,6,5,1,9,2,6,10
29,7,8,9,2,5,5,8,0,1,0,2,1,0,2,1,3,5,1,0,2,10,0,0,6,5,0,1,1,4,3,0,0,3,4,3,7,0,8,1,10,10,1,1
30,5,6,2,0,3,0,6,1,2,2,3,10,1,0,1,1,10,0,1,4,0,9,1,2,1,0,0,0,0,6,0,4,0,0,9,4,3,2,3,1,0,2,1
31,3,10,10,5,2,4,6,0,1,0,5,0,0,1,1,3,0,2,0,0,4,0,4,3,1,1,1,0,0,4,0,0,1,1,0,5,4,4,3,2,0,0,0
32,6,10,3,0,3,6,1,4,4,2,1,2,0,2,1,3,0,1,2,2,6,1,0,0,1,0,6,1,10,1,0,6,5,0,3,2,3,0,1,1,2,1,1
33,6,4,8,0,4,2,0,3,1,2,4,0,10,3,10,2,0,10,0,3,0,0,5,0,4,8,1,0,1,1,2,4,0,0,10,4,0,2,1,4,10,0,0
34,5,3,4,3,1,9,4,1,1,4,1,8,1,0,0,0,1,0,0,0,1,10,0,0,1,0,1,2,1,10,0,2,3,2,0,10,1,2,1,6,10,2,1
35,10,4,9,9,0,10,3,8,7,1,4,10,0,1,5,1,2,0,4,2,0,4,1,1,1,1,0,3,0,4,6,7,1,0,1,3,2,1,7,1,3,3,5
36,6,6,7,5,0,5,0,1,0,3,2,1,3,1,1,8,8,0,10,4,10,1,0,4,0,2,0,3,0,1,3,1,1,3,2,0,1,0,4,0,4,5,0
37,8,5,8,1,2,0,0,1,2,2,0,1,3,2,3,1,2,2,6,0,0,10,10,0,0,1,0,1,2,0,6,2,3,1,9,2,0,5,1,2,1,0,0
38,5,7,2,5,9,2,2,1,2,2,3,1,3,1,1,8,9,1,3,10,1,3,10,10,0,0,0,1,10,0,0,3,0,5,1,0,1,10,10,4,1,1,1
39,5,5,10,0,5,0,3,2,10,0,1,1,0,2,0,1,1,1,2,3,1,0,1,0,2,6,1,10,1,1,5,1,1,10,4,0,1,3,0,1,6,1,2
40,5,7,6,5,0,3,0,3,0,10,10,1,1,1,0,0,2,1,6,6,10,0,3,0,2,1,0,0,0,0,3,1,3,3,0,2,0,2,2,0,0,1,3
41,4,4,4,4,1,3,0,2,1,0,5,1,1,0,2,0,0,2,8,1,0,0,0,1,3,3,0,2,3,2,3,0,1,0,1,0,0,2,2,3,0,2,1
42,4,10,8,3,0,0,4,0,3,2,6,3,1,1,0,1,3,1,1,5,0,2,2,0,0,3,1,2,0,2,1,1,0,0,0,1,1,1,4,5,2,2,1
43,8,5,10,1,1,1,5,4,1,1,0,3,10,0,2,0,1,0,10,1,0,8,2,0,0,1,0,0,6,0,0,5,10,7,2,10,0,0,3,1,1,2,0
44,10,5,6,8,0,10,0,2,0,0,1,2,0,1,0,1,0,1,0,1,0,0,4,0,1,4,0,2,2,10,1,1,2,4,10,0,0,2,1,0,0,4,0
45,5,6,3,1,3,6,0,0,2,1,5,3,10,0,0,6,0,1,2,5,5,2,0,2,4,0,1,1,0,10,5,10,1,1,2,0,1,0,3,0,2,1,6
46,4,5,8,2,6,5,1,1,0,0,2,1,2,0,1,10,1,1,1,3,2,5,2,0,4,0,2,3,0,2,2,10,10,0,3,0,1,0,0,3,2,0,3
47,10,7,3,0,0,6,3,4,3,2,0,1,0,7,1,0,0,0,0,3,1,3,0,3,2,3,3,1,0,10,1,1,2,1,0,6,1,3,1,3,1,1,10
48,4,6,4,0,0,0,2,0,2,3,2,1,0,1,0,0,1,0,10,2,6,0,5,2,4,3,2,5,1,3,2,2,3,1,0,4,4,2,4,0,9,1,1
49,6,6,5,2,0,6,3,1,0,5,5,0,1,2,10,0,1,0,0,6,1,10,1,10,2,1,0,1,1,1,4,4,2,2,2,0,0,0,1,3,1,0,1
50,10,5,6,2,10,0,9,0,3,9,0,2,3,3,1,1,1,2,10,2,4,7,4,0,0,2,1,2,0,0,3,1,0,0,4,1,3,6,2,2,1,2,1
51,7,6,3,0,0,1,7,2,3,8,3,0,1,6,0,0,2,0,0,0,0,0,4,1,0,6,10,0,3,3,1,0,0,1,5,3,4,0,2,0,0,0,3
52,9,7,3,4,1,1,10,0,1,6,0,0,1,0,0,0,2,1,0,0,2,2,10,3,0,0,10,0,1,1,3,3,2,0,2,0,0,0,2,8,1,10,1
53,10,4,10,1,3,5,10,2,9,5,3,2,0,10,1,0,0,6,0,6,4,1,2,5,0,3,10,0,2,0,1,1,3,1,1,2,0,1,1,0,0,1,2
54,7,4,5,7,0,3,1,8,0,1,2,1,4,1,0,1,0,0,0,0,1,3,0,9,10,6,0,3,1,1,0,2,1,4,10,2,0,1,0,1,3,0,5
