expert_id,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37,layer_38,layer_39,layer_40,layer_41,layer_42
0,19,32,13,17,0,9,11,0,3,0,2,0,0,0,8,2,2,0,0,1,14,0,79,19,27,13,2,4,1,0,38,4,0,3,4,17,0,4,5,8,0,0,5
1,18,12,18,8,61,10,148,0,3,0,8,18,0,3,187,10,1,1,9,1,0,0,10,2,0,8,29,1,4,1,1,2,1,3,5,0,3,9,5,2,4,5,2
2,11,3,6,4,22,15,1,0,8,20,1,20,15,3,2,5,7,0,0,2,0,0,3,15,9,0,0,1,1,47,2,2,0,0,4,13,26,8,1,1,0,4,0
3,9,20,12,5,13,0,26,1,0,10,4,37,6,6,7,2,3,142,0,8,3,1,8,9,0,0,28,22,11,5,13,11,1,1,3,0,4,0,55,22,2,0,10
4,11,6,23,8,21,1,12,0,11,10,0,31,10,194,48,0,7,66,0,15,10,4,2,2,0,3,0,16,0,7,10,3,1,1,50,1,4,2,4,0,1,4,0
5,7,3,9,0,3,0,0,0,5,20,4,1,0,0,0,42,0,166,31,5,0,5,0,14,0,0,17,5,0,0,1,0,0,3,13,7,5,1,4,5,5,3,1
6,13,4,9,7,0,6,12,13,17,0,16,4,0,8,1,6,0,0,1,17,0,18,0,1,2,3,0,2,3,0,1,6,5,0,19,0,1,11,21,15,0,150,0
7,9,16,9,4,8,0,4,5,4,0,8,10,0,1,31,6,1,0,0,0,24,9,0,1,1,0,16,0,20,5,0,0,1,0,0,1,4,4,3,20,75,13,2
8,9,30,5,1,161,0,3,10,0,0,11,3,0,0,3,17,0,0,94,7,7,2,5,33,0,0,0,0,1,0,14,2,1,0,20,18,20,3,3,0,2,10,2
9,2,10,11,0,16,3,17,15,20,1,21,16,0,46,9,22,9,4,25,4,2,13,0,0,0,7,0,7,33,32,13,11,1,74,1,0,0,3,0,0,0,0,1
10,8,18,2,1,0,7,2,0,8,6,25,0,1,1,11,9,12,0,0,28,0,12,3,1,49,1,0,4,5,1,1,8,0,0,29,0,17,6,64,1,0,12,0
11,9,6,12,21,30,13,1,0,6,11,87,0,2,0,2,13,5,6,4,19,20,7,0,14,2,10,93,4,1,12,11,0,0,14,13,1,12,47,0,3,1,0,1
12,15,11,8,0,0,19,0,1,10,21,9,0,0,15,8,0,1,3,0,2,7,0,2,0,0,13,1,97,14,5,73,0,2,8,23,0,0,3,2,0,0,2,7
13,15,10,3,3,6,6,13,0,10,8,86,1,13,20,3,2,2,4,0,0,1,17,0,0,0,22,0,1,1,42,22,18,10,0,5,6,0,14,6,3,0,148,1
14,10,5,16,16,0,27,10,2,1,10,20,0,184,138,0,1,5,4,0,2,10,0,11,20,0,0,4,2,32,0,17,1,23,14,9,11,39,12,4,4,4,1,1
15,14,9,12,4,8,6,7,1,13,16,5,11,18,16,8,0,33,7,0,17,35,10,0,3,8,11,5,0,29,0,5,5,36,8,11,14,1,2,23,3,1,0,2
