expert_id,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37,layer_38,layer_39,layer_40,layer_41,layer_42
0,6,5,0,2,0,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,17,5,8,0,0,2,0,0,21,2,0,1,2,3,0,3,0,2,0,0,0
1,3,0,2,0,18,0,48,0,0,0,3,2,0,1,125,4,0,0,8,0,0,0,4,0,0,5,8,0,0,0,0,1,0,2,0,0,1,0,1,0,1,1,0
2,1,0,0,1,7,1,0,0,1,2,0,7,3,0,0,4,1,0,0,0,0,0,1,1,5,0,0,0,0,5,1,1,0,0,0,2,14,0,0,0,0,1,0
3,1,2,1,0,2,0,5,0,0,1,3,17,1,2,4,1,0,108,0,1,2,0,3,1,0,0,20,14,2,0,3,3,0,0,0,0,2,0,30,5,0,0,0
4,1,0,2,0,6,0,2,0,0,1,0,9,5,39,19,0,1,7,0,3,3,1,0,0,0,0,0,5,0,1,0,0,0,0,36,0,1,1,0,0,0,1,0
5,1,0,0,0,0,0,0,0,2,8,3,0,0,0,0,6,0,0,21,1,0,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0
6,2,0,1,0,0,0,3,2,3,0,5,3,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,13,0,0,1,3,4,0,68,0
7,0,0,1,0,3,0,3,0,0,0,3,0,0,0,1,2,0,0,0,0,6,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,1,0,0,6,4,2,0
8,0,1,0,0,51,0,0,0,0,0,0,0,0,0,0,1,0,0,21,2,1,0,3,3,0,0,0,0,0,0,1,0,0,0,7,0,15,0,1,0,0,2,1
9,0,1,0,0,1,0,3,2,6,0,4,7,0,4,7,7,1,2,17,0,0,6,0,0,0,2,0,0,30,23,5,0,0,5,0,0,0,1,0,0,0,0,0
10,0,0,0,0,0,0,0,0,1,3,12,0,0,0,6,2,0,0,0,16,0,5,0,0,6,0,0,2,4,0,0,5,0,0,3,0,1,2,14,0,0,4,0
11,0,1,0,2,10,0,0,0,2,0,37,0,0,0,0,4,0,1,0,3,14,0,0,6,0,4,57,0,0,4,2,0,0,10,8,0,5,26,0,1,0,0,0
12,1,1,0,0,0,4,0,0,2,4,2,0,0,4,1,0,0,1,0,1,4,0,0,0,0,1,0,43,3,1,8,0,0,5,7,0,0,0,1,0,0,0,0
13,2,2,0,0,2,0,2,0,1,1,27,0,10,10,0,0,0,1,0,0,0,5,0,0,0,9,0,0,0,7,9,9,0,0,0,2,0,0,0,0,0,62,0
14,1,0,1,2,0,11,0,0,0,1,0,0,23,88,0,0,4,2,0,1,4,0,4,8,0,0,3,0,5,0,11,0,7,6,3,3,13,6,0,0,1,0,0
15,0,2,2,2,0,0,0,0,4,1,3,5,6,7,1,0,1,2,0,4,30,0,0,1,1,5,0,0,15,0,4,1,22,0,4,4,0,0,5,1,0,0,0
16,1,0,0,1,139,0,5,0,5,0,0,38,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,1,0,0,1,7
17,1,2,0,0,0,0,2,0,2,0,0,0,0,7,0,0,0,0,0,0,0,17,0,2,0,0,1,0,0,4,0,1,37,0,0,1,0,0,0,0,0,1,0
18,1,0,0,0,0,3,0,1,1,0,2,0,2,1,1,0,0,0,0,0,0,0,6,0,0,0,38,15,0,1,5,3,5,5,14,1,0,0,0,0,0,0,0
19,1,5,1,1,0,15,0,0,0,0,10,1,0,17,0,0,10,0,0,6,0,0,0,0,0,0,2,0,38,0,28,4,0,0,0,0,0,0,0,0,2,0,0
20,0,5,3,0,1,0,0,0,0,0,0,6,0,1,0,27,3,2,0,0,3,0,0,0,0,0,0,0,2,5,10,0,0,0,3,0,5,0,0,0,2,0,0
21,0,0,0,0,0,0,0,0,3,0,0,5,0,2,0,0,2,1,0,0,4,0,1,1,0,5,2,2,0,14,14,0,16,0,0,1,5,0,0,0,0,0,0
22,1,2,1,0,0,17,0,0,0,6,0,0,0,0,0,1,0,0,0,3,6,1,0,2,0,0,8,0,0,13,5,0,0,12,0,0,19,0,0,0,7,0,6
23,0,1,0,2,0,23,0,9,0,1,1,1,1,0,6,0,0,0,20,3,0,10,2,6,0,0,1,13,28,21,40,0,0,0,0,0,0,0,0,0,10,0,8
24,0,0,1,0,0,0,0,0,0,2,0,7,0,0,0,18,1,1,0,5,0,0,7,0,0,6,0,0,0,2,0,0,6,2,2,0,1,0,0,0,0,0,0
25,1,5,2,0,0,0,0,0,0,0,1,0,1,0,0,4,3,0,6,2,0,0,0,2,0,0,0,8,11,3,0,0,20,4,0,6,151,0,0,0,1,0,7
26,0,0,0,7,0,2,0,0,0,41,0,2,7,6,0,9,0,3,5,0,0,2,0,0,0,5,0,0,0,2,0,0,0,0,0,0,10,0,0,0,183,1,0
27,0,0,2,0,0,0,0,0,0,0,2,0,0,0,4,68,0,0,0,1,0,0,2,6,25,0,0,6,47,0,0,2,0,0,0,0,0,0,13,0,21,8,0
28,1,0,2,0,5,0,0,9,42,9,0,0,3,0,5,6,0,0,4,1,0,29,0,1,0,6,0,0,1,3,1,0,0,0,0,0,2,20,0,4,11,0,2
29,6,2,1,0,0,0,8,0,0,0,2,0,0,4,1,6,2,0,0,0,12,0,0,6,0,0,0,1,7,0,0,0,0,1,3,9,0,18,0,8,7,0,0
30,0,1,0,0,0,0,7,0,0,0,7,5,0,0,0,0,1,0,0,1,0,2,0,3,0,0,0,0,0,3,0,3,0,0,10,0,2,0,0,1,0,2,0
31,3,0,2,6,1,8,10,0,1,0,2,0,0,0,0,13,0,2,0,0,0,0,2,0,6,18,0,0,0,8,0,0,13,0,0,0,0,3,2,3,0,0,0
32,0,7,0,0,13,0,0,0,20,0,5,1,0,1,0,11,0,0,2,1,2,1,0,0,0,0,1,0,0,0,0,1,2,0,3,0,3,0,0,0,5,0,0
33,0,1,2,0,7,3,0,1,10,5,2,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0
34,2,0,0,5,0,42,17,7,0,0,1,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,7,1,0,91,0,1,0,7,0,0,1
35,2,0,4,2,0,4,4,3,1,0,13,22,0,2,2,0,0,0,2,1,0,0,1,1,0,0,0,8,0,6,0,12,0,0,0,3,1,0,0,0,2,2,1
36,1,2,2,1,0,7,0,0,0,1,3,1,15,0,0,3,23,0,9,2,45,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0
37,7,0,2,0,0,0,0,0,2,0,0,0,23,1,5,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,12,0,0,0,5,0,0,12,1,0,0,0,0
38,1,0,0,0,5,1,0,0,0,0,2,2,0,0,0,1,7,13,1,0,1,2,0,12,0,0,0,0,3,0,0,0,0,1,0,0,1,190,0,0,0,0,1
