index,id,category,session_id,prompt_id,token_count,completion_tokens,route_events,expert_selections,unique_cache_hits,unique_cache_misses,transaction_hit_rate,model_bytes_read,disk_read_gib,evictions,cache_load_ms,prefill_unique_hits,prefill_unique_misses,prefill_hit_rate,prefill_disk_read_gib,decode_unique_hits,decode_unique_misses,decode_hit_rate,decode_disk_read_gib
1,fact,conoscenza,1,1,21,11,516,8256,1990,2874,0.40912828947368424,20341850112,18.94482421875,1187,5663.237131000001,0,2026,0.0,13.35498046875,1990,848,0.7011980267794221,5.58984375
2,arithmetic,calcolo,1,2,20,7,344,6966,1613,2176,0.4257059910266561,15401484288,14.34375,1260,6695.961647000003,395,1588,0.19919314170448815,10.4677734375,1218,588,0.6744186046511628,3.8759765625
3,translation,traduzione,1,3,24,8,387,8256,1701,2646,0.391304347826087,18728091648,17.44189453125,1524,4640.650011000001,497,1786,0.21769601401664476,11.77294921875,1204,860,0.5833333333333334,5.6689453125
4,summary,riassunto,1,4,42,22,989,16512,4524,4291,0.5132161089052751,30371217408,28.285400390625,2613,5960.980306000001,653,2486,0.20802803440586173,16.38720703125,3871,1805,0.6819943622269203,11.898193359375
5,sentiment,classificazione,1,5,29,32,1419,15738,5959,4980,0.544748148825304,35247882240,32.8271484375,3608,5062.710371000001,553,2130,0.20611256056653002,14.04052734375,5406,2850,0.654796511627907,18.78662109375
6,python,codice,1,6,29,32,1419,15738,5969,4649,0.5621585986061405,32905101312,30.645263671875,3568,4548.954258000001,452,1910,0.1913632514817951,12.59033203125,5517,2739,0.6682412790697675,18.054931640625
7,logic,logica,1,7,32,8,387,10320,1731,2683,0.392161304938831,18989973504,17.685791015625,1711,4579.690547000001,365,1985,0.15531914893617021,13.084716796875,1366,698,0.6618217054263565,4.60107421875
8,formatting,formattazione,1,8,24,9,430,8514,2069,2518,0.45105733594942227,17822121984,16.59814453125,1504,3930.5247269999995,489,1776,0.21589403973509932,11.70703125,1580,742,0.6804478897502153,4.89111328125
9,creative,scrittura,1,9,21,20,903,10578,4263,3176,0.5730608952816238,22479372288,20.935546875,2208,4108.566269000001,502,1777,0.22027204914436158,11.713623046875,3761,1399,0.728875968992248,9.221923828125
10,practical,consiglio,1,10,26,32,1419,14964,6124,4574,0.5724434473733409,32374259712,30.15087890625,3463,4800.540674999999,456,1986,0.18673218673218672,13.09130859375,5668,2588,0.686531007751938,17.0595703125
